unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible,solution_count
51812,272581,8,a1 a3 b1 b2 b6 c2 d1,14,15,-1,1,0
51813,401605,8,a1 a3 b1 b2 c2 c6 d1,15,14,1,1,0
51814,8659141,8,a1 a3 b1 b2 c2 d1 d6,14,15,-1,1,0
51815,25234472,8,a4 a6 b5 b6 c5 d6 e1,14,15,-1,1,0
51816,1073874484,8,a3 a5 a6 b4 b5 c6 f1,15,14,1,1,0
52010,272593,8,a1 a5 b1 b2 b6 c2 d1,14,15,-1,1,0
52053,1124603920,8,a5 b6 c1 d2 e1 e2 f1,13,16,-3,1,0
52997,279237,8,a1 a3 b1 b2 b4 c3 d1,13,16,-3,1,0
53092,262869,8,a1 a3 a5 b1 b2 b4 d1,13,16,-3,1,0
53163,264405,8,a1 a3 a5 b1 b2 b6 d1,13,16,-3,1,0
53206,2164393012,8,a3 a5 a6 b5 c6 e1 f2,14,15,-1,1,0
55255,796753,8,a1 a5 b1 b6 c2 d1 d2,14,15,-1,1,0
55298,1091057680,8,a5 b6 c1 c2 d2 e1 f1,13,16,-3,1,0
55318,17140,8,a3 a5 a6 b1 b2 b4 c3,13,16,-3,1,0
55341,38155,8,a1 a2 a4 b3 b5 c1 c4,16,13,3,1,0
55363,42251,8,a1 a2 a4 b3 b5 c2 c4,17,12,5,1,0
55384,49844,8,a3 a5 a6 b2 b4 c3 c4,13,16,-3,1,0
55405,25268,8,a3 a5 a6 b2 b4 c2 c3,13,16,-3,1,0
55406,21172,8,a3 a5 a6 b2 b4 c1 c3,12,17,-5,1,0
55407,296203,8,a1 a2 a4 b3 b5 c4 d1,17,12,5,1,0
55408,558347,8,a1 a2 a4 b3 b5 c4 d2,16,13,3,1,0
55409,1082635,8,a1 a2 a4 b3 b5 c4 d3,17,12,5,1,0
55410,1065652,8,a3 a5 a6 b2 b4 c3 d3,13,16,-3,1,0
55411,541364,8,a3 a5 a6 b2 b4 c3 d2,12,17,-5,1,0
55412,279220,8,a3 a5 a6 b2 b4 c3 d1,13,16,-3,1,0
55413,16811275,8,a1 a2 a4 b3 b5 c4 e1,16,13,3,1,0
