unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
391700,4430626850,8,a2 a6 c6 d1 d3 e4 f3,18,11,7,0
391712,169091112,8,a4 a6 c2 d1 d3 e2 e4,18,11,7,0
391715,1615102216,8,a4 b3 c4 d1 d5 e6 f1,18,11,7,0
391717,1078362376,8,a4 b3 c4 c6 d1 d5 f1,18,11,7,0
391728,1610908936,8,a4 b3 b5 c4 d1 e6 f1,18,11,7,0
391730,1074169096,8,a4 b3 b5 c4 c6 d1 f1,18,11,7,0
391740,1611038984,8,a4 b3 c4 c6 d1 e6 f1,18,11,7,0
391755,168960034,8,a2 a6 c2 c6 d3 e2 e4,18,11,7,0
391757,69277713,8,a1 a5 b6 c1 c5 d4 e3,11,18,-7,0
391759,77664273,8,a1 a5 c1 c5 d4 d6 e3,11,18,-7,0
391761,1209147426,8,a2 a6 c2 c6 d3 e4 f1,18,11,7,0
391770,168951906,8,a2 a6 b1 c6 d3 e2 e4,18,11,7,0
391772,169213986,8,a2 a6 c6 d1 d3 e2 e4,18,11,7,0
391774,1242693666,8,a2 a6 c6 d3 e2 e4 f1,18,11,7,0
391780,77600785,8,a1 a5 b6 c1 d4 d6 e3,11,18,-7,0
391782,1209139298,8,a2 a6 b1 c6 d3 e4 f1,18,11,7,0
391837,168960096,8,a6 b1 c2 c6 d3 e2 e4,18,11,7,0
391839,169222176,8,a6 c2 c6 d1 d3 e2 e4,18,11,7,0
391841,1078232352,8,a6 b3 b5 c4 d1 d5 f1,18,11,7,0
391851,77666305,8,a1 b6 c1 c5 d4 d6 e3,11,18,-7,0
391853,1209147488,8,a6 b1 c2 c6 d3 e4 f1,18,11,7,0
391890,169214048,8,a6 b1 c6 d1 d3 e2 e4,18,11,7,0
391892,1242693728,8,a6 b1 c6 d3 e2 e4 f1,18,11,7,0
392138,360775685,8,a1 a3 c5 d6 e1 e3 e5,11,18,-7,0
392140,2239823877,8,a1 a3 c5 d6 e1 e3 f2,11,18,-7,0
392142,4429586466,8,a2 a6 c2 c6 d1 e4 f3,18,11,7,0
392151,2441150469,8,a1 a3 c5 d6 e1 e5 f2,11,18,-7,0
392153,4463132706,8,a2 a6 c6 d1 e2 e4 f3,18,11,7,0
392160,4429578338,8,a2 a6 b1 c6 d1 e4 f3,18,11,7,0
392208,1615070472,8,a4 b3 b5 d1 d5 e6 f1,18,11,7,0
392210,1078330632,8,a4 b3 b5 c6 d1 d5 f1,18,11,7,0
392220,1615200520,8,a4 b3 c6 d1 d5 e6 f1,18,11,7,0
392252,1611007240,8,a4 b3 b5 c6 d1 e6 f1,18,11,7,0
392311,167911522,8,a2 a6 b1 c2 c6 e2 e4,18,11,7,0
392313,168173602,8,a2 a6 c2 c6 d1 e2 e4,18,11,7,0
392315,1241653282,8,a2 a6 c2 c6 e2 e4 f1,18,11,7,0
392321,75569169,8,a1 a5 b6 c1 c5 d6 e3,11,18,-7,0
392323,1208098914,8,a2 a6 b1 c2 c6 e4 f1,18,11,7,0
392351,168165474,8,a2 a6 b1 c6 d1 e2 e4,18,11,7,0
392353,1241645154,8,a2 a6 b1 c6 e2 e4 f1,18,11,7,0
392485,168173664,8,a6 b1 c2 c6 d1 e2 e4,18,11,7,0
